Theta[deg],Phi[deg],dB(NearEPhi),ang_deg(NearEPhi)[deg],dB(NearETheta),ang_deg(NearETheta)[deg]
25,-115,53.8645,-22.5872,63.3591,-22.802
30,-115,51.987,-31.1607,61.7427,-41.3385
35,-115,49.3106,-41.8102,60.6827,-66.7382
40,-115,45.5974,-56.6074,61.0051,-92.6996
45,-115,40.4238,-83.1292,62.1332,-111.891
50,-115,36.3692,-144.871,63.1847,-124.489
55,-115,39.9245,161.156,63.8485,-133.133
60,-115,43.3716,138.211,64.1103,-139.706
65,-115,45.4967,124.277,64.0313,-145.28
70,-115,46.7893,113.517,63.6852,-150.478
75,-115,47.5484,103.953,63.1349,-155.651
80,-115,47.9584,94.7301,62.4329,-161.018
85,-115,48.1507,85.3655,61.6204,-166.713
90,-115,48.229,75.5632,60.7272,-172.827
0,-110,47.9966,7.99618,61.7815,33.3247
5,-110,50.3539,1.08162,63.6505,20.6287
10,-110,51.6845,-4.69034,64.7856,11.3961
15,-110,52.2992,-10.0476,65.2588,3.61176
20,-110,52.3623,-15.1854,65.1455,-3.90792
25,-110,51.9694,-20.0432,64.5189,-12.0782
30,-110,51.1816,-24.3886,63.4471,-21.9667
35,-110,50.0231,-27.6474,62.0883,-34.6959
40,-110,48.5019,-28.9224,60.746,-51.1069
45,-110,46.6415,-26.7148,59.8518,-70.4099
50,-110,44.6155,-18.6726,59.6363,-89.4933
55,-110,43.067,-2.80146,59.875,-105.433
60,-110,42.9772,17.0427,60.1941,-117.666
65,-110,44.2022,32.0525,60.3665,-127.034
70,-110,45.7453,39.8396,60.3114,-134.525
75,-110,47.0917,42.5954,60.019,-140.88
80,-110,48.1393,42.295,59.5049,-146.6
85,-110,48.9133,40.0494,58.7909,-152.01
90,-110,49.4618,36.4467,57.9001,-157.31
0,-105,44.0881,-8.6165,61.888,32.893
5,-105,45.6227,-11.2574,63.3536,22.473
10,-105,46.6156,-14.7291,64.3599,14.419
15,-105,47.2115,-18.6581,64.935,7.64362
20,-105,47.5065,-22.7091,65.121,1.4867
25,-105,47.5597,-26.5506,64.9664,-4.47415
30,-105,47.4234,-29.7849,64.4987,-10.6475
35,-105,47.1229,-31.9322,63.765,-17.3246
40,-105,46.6926,-32.5416,62.818,-24.7866
45,-105,46.1818,-31.2088,61.7254,-33.2546
50,-105,45.6734,-27.6907,60.5723,-42.8155
55,-105,45.2863,-22.1111,59.4521,-53.3202
60,-105,45.1409,-15.1696,58.4434,-64.3268
65,-105,45.2891,-8.05382,57.5808,-75.1918
70,-105,45.6771,-1.92815,56.8448,-85.3
75,-105,46.1862,2.54553,56.1817,-94.2633
80,-105,46.701,5.24454,55.5354,-101.96
85,-105,47.1423,6.35172,54.8701,-108.454
90,-105,47.4657,6.15169,54.1793,-113.895
0,-100,40.5297,-51.1012,61.9282,32.4687
5,-100,40.2871,-55.2426,62.9259,24.6056
10,-100,40.1051,-60.2613,63.6804,18.0048
15,-100,40.0191,-65.7455,64.1933,12.253
20,-100,40.0317,-71.1339,64.4775,7.05861
25,-100,40.1109,-76.0904,64.5586,2.23339
30,-100,40.2027,-80.0806,64.444,-2.4128
35,-100,40.2377,-82.9607,64.1559,-6.97465
40,-100,40.1732,-84.6152,63.7148,-11.5407
45,-100,39.9836,-85.0065,63.1418,-16.179
50,-100,39.664,-84.1329,62.4586,-20.9404
55,-100,39.232,-82.0124,61.687,-25.8607
60,-100,38.7251,-78.7048,60.8486,-30.9637
65,-100,38.196,-74.3662,59.9645,-36.2658
70,-100,37.6987,-69.3114,59.0551,-41.782
75,-100,37.2677,-64.0257,58.1402,-47.5338
80,-100,36.8981,-59.0792,57.2402,-53.5563
