Theta[deg],Phi[deg],dB(NearEPhi),ang_deg(NearEPhi)[deg],dB(NearETheta),ang_deg(NearETheta)[deg]
35,115,57.8837,-41.7784,60.0465,123.105
40,115,57.6896,-56.7667,61.0005,96.7836
45,115,57.6543,-69.397,62.6998,80.1575
50,115,57.5504,-79.42,64.0836,70.7873
55,115,57.241,-87.4137,64.9435,65.0975
60,115,56.6842,-94.054,65.3382,61.088
65,115,55.8918,-99.8439,65.369,57.7184
70,115,54.8861,-104.928,65.1247,54.4605
75,115,53.6761,-109.385,64.6856,51.0311
80,115,52.2541,-113.11,64.1145,47.3072
85,115,50.5867,-115.831,63.459,43.255
90,115,48.6065,-116.979,62.7526,38.8869
0,120,58.0352,38.2912,59.7039,-151.559
5,120,60.1946,24.1453,62.7621,-164.238
10,120,61.2059,13.73,64.1146,-171.723
15,120,61.2296,3.38162,64.0776,-178.852
20,120,60.5013,-9.61448,62.791,170.583
25,120,59.4878,-27.5637,60.6564,150.211
30,120,58.977,-49.8924,59.7575,115.548
35,120,59.3713,-71.0196,61.7137,85.578
40,120,60.1329,-86.6162,64.0438,70.5575
45,120,60.6853,-97.308,65.5821,63.3509
50,120,60.8403,-105.07,66.3412,59.24
55,120,60.6212,-111.334,66.4897,56.0873
60,120,60.114,-116.815,66.1912,52.8037
65,120,59.4106,-121.733,65.5955,48.8152
70,120,58.5686,-125.935,64.8398,43.9398
75,120,57.6166,-129.296,64.0399,38.3041
80,120,56.5643,-131.697,63.275,32.2692
85,120,55.4098,-133.092,62.5822,26.2597
90,120,54.1433,-133.476,61.9664,20.5978
0,125,58.8662,37.3503,59.0307,-152.321
5,125,61.3611,21.3539,62.4324,-166.294
10,125,62.3155,9.88109,63.6461,-174.485
15,125,61.9748,-2.56866,63.0802,176.445
20,125,60.7679,-20.7447,60.9483,159.377
25,125,59.8727,-47.7211,59.0649,122.676
30,125,60.5846,-75.552,61.1783,84.2828
35,125,62.051,-94.187,64.1449,66.9787
40,125,63.1062,-105.17,65.9533,59.9664
45,125,63.4975,-112.448,66.6808,56.2904
50,125,63.3256,-118.331,66.5811,52.9866
55,125,62.7651,-123.869,65.8945,48.3274
60,125,61.9816,-129.214,64.8973,41.2044
65,125,61.0885,-133.945,63.924,31.4405
70,125,60.1083,-137.397,63.2487,20.3205
75,125,59.0321,-139.16,62.9063,9.8687
80,125,57.86,-139.033,62.7205,1.31266
85,125,56.637,-137.03,62.5047,-5.27937
90,125,55.453,-133.413,62.1649,-10.3062
0,130,59.5656,36.5615,58.2306,-153.224
5,130,62.3499,18.9678,61.9424,-168.229
10,130,63.1747,6.44302,62.9512,-177.11
15,130,62.3915,-8.8003,61.745,171.144
20,130,60.8604,-34.4354,58.9014,143.408
25,130,60.9824,-69.5815,59.2943,93.8304
30,130,62.9805,-94.8451,63.0404,67.3639
35,130,64.6305,-107.845,65.4846,58.4276
40,130,65.3132,-115.405,66.4259,54.5426
45,130,65.168,-121.523,66.2114,50.7984
50,130,64.4787,-128.157,65.1952,43.9693
55,130,63.5616,-135.744,63.974,31.5438
60,130,62.645,-143.319,63.4435,14.6945
65,130,61.7505,-149.339,63.8993,-0.302616
70,130,60.7174,-152.854,64.6919,-9.94359
75,130,59.3989,-153.711,65.2763,-15.5761
80,130,57.7367,-151.812,65.4946,-19.3647
85,130,55.8125,-146.579,65.3585,-22.7319
90,130,53.9456,-137.153,64.9199,-26.3669
0,135,60.1527,35.8812,57.2787,-154.328
5,135,63.1838,16.9059,61.2747,-170.086
10,135,63.8235,3.28759,62.0247,-179.636
15,135,62.5623,-15.5901,60.0852,164.986
20,135,61.1305,-50.378,57.2158,122.336
25,135,62.7813,-87.7225,60.4457,74.1965
30,135,65.2369,-106.786,64.0977,58.5701
35,135,66.4977,-115.863,65.7068,53.5516
40,135,66.5627,-122.388,65.6877,49.7766
45,135,65.8149,-130.209,64.5049,41.7347
50,135,64.8266,-140.895,63.1923,24.4552
55,135,64.1535,-152.634,63.4974,2.43428
60,135,63.8132,-161.635,65.1239,-11.2511
65,135,63.3802,-166.398,66.609,-16.0326
70,135,62.4988,-167.946,67.5114,-16.6045
75,135,61.0233,-167.701,67.8691,-16.0784
80,135,58.8863,-166.404,67.8048,-16.1937
85,135,56.0183,-163.493,67.4311,-17.9084
90,135,52.3918,-155.61,66.8338,-21.6406
0,140,60.6413,35.2802,56.1391,-155.734
5,140,63.8806,15.1124,60.4032,-171.92
10,140,64.2968,0.342869,60.8521,177.922
15,140,62.5755,-23.0658,58.1102,157.747
20,140,61.8273,-66.5863,56.3938,99.9129
25,140,64.6852,-100.282,61.2744,62.497
30,140,66.9703,-114.138,64.2724,53.2312
35,140,67.6353,-121.426,64.9781,49.5421
40,140,67.0407,-129.394,63.9529,42.6351
45,140,65.9667,-142.144,62.3559,23.8985
50,140,65.5356,-158.002,63.002,-2.67759
55,140,65.9167,-169.22,65.4359,-15.7931
60,140,66.2359,-173.095,67.3985,-16.7363
65,140,65.9588,-172.208,68.5086,-12.6411
70,140,64.9714,-169.38,68.9369,-7.26294
75,140,63.3004,-166.554,68.8715,-2.71641
80,140,60.9652,-164.938,68.4714,-0.393455
85,140,57.9092,-164.926,67.8654,-1.21222
90,140,53.8899,-165.226,67.1565,-5.59641
0,145,61.0418,34.7377,54.758,-157.612
5,145,64.4551,13.5482,59.2871,-173.809
10,145,64.6259,-2.4207,59.4015,175.572
15,145,62.5208,-31.1515,55.8121,149.274
20,145,62.8908,-80.6387,56.1556,81.1148
25,145,66.3176,-108.547,61.4254,54.9102
30,145,68.1663,-119.069,63.658,49.1675
35,145,68.183,-126.425,63.4176,44.7391
40,145,67.0851,-138.457,61.5678,30.0676
45,145,66.4689,-157.471,61.435,-0.895971
50,145,67.3243,-172.447,64.4225,-18.6191
55,145,68.3591,-176.274,66.9849,-18.324
60,145,68.6552,-172.665,68.4235,-10.5217
65,145,68.0991,-165.703,68.9888,-0.212598
70,145,66.7847,-158.016,68.9492,10.0495
75,145,64.8207,-151.453,68.5009,18.3633
80,145,62.2777,-147.406,67.801,23.1476
85,145,59.1577,-146.662,66.9854,23.1831
90,145,55.3161,-148.63,66.1834,17.8595
0,150,61.3618,34.2383,53.051,-160.293
5,150,64.9194,12.1857,57.8599,-175.883
10,150,64.8386,-4.99878,57.6107,173.346
15,150,62.4759,-39.528,53.1253,139.496
20,150,64.0646,-91.4824,55.8233,66.7686
25,150,67.5811,-114.109,60.858,49.0358
30,150,68.9131,-122.844,62.3099,45.1497
35,150,68.3212,-131.923,61.097,37.7602
40,150,67.1553,-150.022,59.2621,10.3859
45,150,67.7754,-171.221,61.865,-19.7231
50,150,69.4648,-178.823,65.3074,-23.0827
55,150,70.4419,-174.583,67.3271,-13.629
60,150,70.3888,-164.387,68.2011,0.777495
65,150,69.4403,-151.67,68.2967,16.8006
70,150,67.7693,-138.671,67.8908,32.1939
75,150,65.5155,-127.252,67.1636,44.7793
80,150,62.7683,-119.035,66.2454,52.4798
85,150,59.5547,-114.99,65.2575,53.5646
90,150,55.8107,-114.331,64.3584,47.087
0,155,61.6071,33.7705,50.8777,-164.486
5,155,65.2835,11.0054,56.0068,-178.404
10,155,64.9595,-7.35997,55.356,171.297
15,155,62.485,-47.6792,49.8227,128.184
20,155,65.1355,-99.3988,54.9429,54.799
25,155,68.498,-118.055,59.5412,43.2669
30,155,69.3172,-126.123,60.1998,40.2115
35,155,68.244,-138.328,58.0319,27.0264
40,155,67.612,-162.188,57.7302,-12.7267
45,155,69.4235,-179.485,62.0379,-30.2033
50,155,71.2458,-178.977,65.0578,-23.0216
55,155,71.8982,-168.154,66.4937,-6.64005
60,155,71.4557,-152.148,66.8906,13.9338
65,155,70.1578,-133.67,66.6535,36.0184
70,155,68.2234,-114.808,66.061,57.0824
75,155,65.8142,-97.6514,65.2431,74.349
80,155,63.0204,-84.157,64.2539,85.1855
85,155,59.881,-75.4157,63.1669,87.4115
90,155,56.4505,-70.3183,62.1679,79.7142
0,160,61.7815,33.3247,47.9966,-172.004
5,160,65.5552,9.99295,53.5089,178.012
10,160,65.0098,-9.45312,52.3703,169.499
15,160,62.5482,-55.0404,45.2155,113.512
20,160,66.0005,-105.093,53.2508,42.0886
25,160,69.1219,-121,57.3557,35.8486
30,160,69.4794,-129.195,57.1442,32.904
35,160,68.1234,-145.365,54.1306,9.65591
40,160,68.4118,-172.237,56.5608,-34.6659
45,160,70.8685,176.957,61.1759,-38.2809
50,160,72.5057,-176.077,63.5803,-23.3836
55,160,72.8083,-159.932,64.46,-0.726703
60,160,72.0387,-138.639,64.4774,26.3896
65,160,70.5053,-114.478,64.1065,55.1464
70,160,68.473,-89.6933,63.591,82.0363
75,160,66.1073,-66.8551,62.9162,103.596
80,160,63.4679,-48.3304,62.0091,117.06
85,160,60.6012,-35.32,60.9095,120.168
90,160,57.7079,-26.9023,59.8565,111.343
0,165,61.888,32.893,44.0881,171.383
5,165,65.7408,9.13795,49.8861,171.447
10,165,65.007,-11.2164,47.9519,168.06
15,165,62.6291,-61.1612,37.1682,78.3773
20,165,66.6288,-109.192,50.6117,23.0864
25,165,69.5094,-123.312,54.0196,22.8116
30,165,69.4857,-132.089,52.6309,18.7758
35,165,68.053,-152.22,49.468,-23.6097
40,165,69.2451,-179.176,55.0614,-58.9889
45,165,71.9109,175.906,59.1118,-51.2254
50,165,73.2974,-172.391,60.7049,-30.0553
55,165,73.3066,-151.968,60.88,-0.86843
60,165,72.3041,-126.043,60.5142,34.2984
65,165,70.665,-96.7715,60.2703,71.0201
70,165,68.6824,-66.8355,60.1752,103.485
75,165,66.4786,-39.3454,59.8625,128.222
80,165,64.0533,-16.8508,59.1469,143.391
85,165,61.4716,-0.582352,58.1274,146.96
90,165,59.0555,9.73391,57.1532,137.15
0,170,61.9282,32.4687,40.5297,128.899
5,170,65.8449,8.43193,43.9436,152.366
10,170,64.9649,-12.588,39.0232,167.326
15,170,62.6765,-65.7729,38.6287,-27.4348
20,170,67.0206,-112.138,48.0916,-13.342
25,170,69.7083,-125.18,49.6945,-9.17176
30,170,69.4021,-134.667,46.642,-24.4708
35,170,68.0218,-157.983,48.1346,-84.1468
40,170,69.8618,176.372,54.0678,-93.7543
45,170,72.5364,175.625,56.6668,-80.4496
50,170,73.707,-169.435,56.8439,-57.6877
55,170,73.5005,-145.826,55.2657,-24.8777
60,170,72.3544,-116.274,53.2372,22.4718
65,170,70.7006,-83.0375,53.1712,75.9905
70,170,68.8279,-49.3152,54.3004,116.45
75,170,66.7815,-18.5028,54.8331,143.39
80,170,64.5175,6.99878,54.5735,159.292
85,170,62.1476,25.9164,53.8786,162.994
90,170,60.0776,37.6203,53.2898,152.801
0,175,61.9025,32.045,43.1116,79.8075
5,175,65.8702,7.86754,40.1857,71.886
10,175,64.8934,-13.5168,36.4349,-14.9052
15,175,62.6445,-68.7519,45.8392,-52.7581
20,175,67.1845,-114.207,49.5881,-58.3472
25,175,69.7536,-126.697,49.9795,-66.6754
30,175,69.2718,-136.733,49.2594,-93.3035
35,175,67.9568,-162.047,52.1478,-124.366
40,175,70.1463,173.459,55.7388,-130.598
45,175,72.7781,175.017,57.5487,-123.25
50,175,73.8024,-168.223,57.5886,-109.655
55,175,73.4568,-142.695,55.9499,-92.0723
60,175,72.2275,-110.872,52.4473,-70.4809
65,175,70.5855,-75.1926,46.332,-40.4208
70,175,68.8018,-39.2463,37.8302,33.7892
75,175,66.851,-6.47308,41.5091,115.397
80,175,64.6718,21.0019,44.3362,141.305
85,175,62.4264,41.8781,45.4635,150.411
90,175,60.5778,54.8021,46.3377,146.565
0,180,61.8107,31.6155,47.2329,59.3618
5,180,65.8196,7.43713,47.4494,30.5156
10,180,64.7997,-13.9757,46.7798,-14.4778
15,180,62.504,-70.0393,49.8608,-60.8642
20,180,67.1258,-115.552,53.176,-82.671
25,180,69.6663,-127.908,54.4227,-96.2234
30,180,69.1181,-138.131,54.3841,-115.428
35,180,67.7897,-164.148,55.721,-141.132
40,180,70.0581,171.446,58.6814,-153.164
45,180,72.664,173.482,60.9352,-149.505
50,180,73.6244,-169.36,61.8659,-136.819
55,180,73.208,-143.351,61.5452,-118.405
60,180,71.9228,-110.856,60.1234,-95.4027
65,180,70.2672,-74.4018,57.8038,-67.984
70,180,68.5049,-37.7906,54.9594,-36.4656
75,180,66.5768,-4.48321,52.1388,-3.63101
80,180,64.4017,23.6464,49.5816,23.9671
85,180,62.1734,45.4718,46.8452,40.4538
90,180,60.4108,59.5148,43.1466,45.5924
